source1_entity_id	split	true_match_count	matched_entity_ids
S1-100423258	final	6	S2-119371458,S2-274572149,S2-641226959,S3-904816251,S3-927316776,S3-359275371
S1-100845455	final	4	S2-409691631,S2-139127493,S2-703931513,S3-732647543
S1-101007939	final	3	S2-917497513,S3-382027832,S3-656170598
S1-101057842	final	2	S2-159297813,S3-103647776
S1-101074592	final	4	S2-773984441,S3-91944784,S3-793826965,S3-420035880
S1-101315698	final	5	S2-281488877,S2-480408692,S3-345198852,S3-726096519,S3-672926967
S1-101425220	final	5	S2-658767636,S2-460907543,S2-306915006,S3-54455976,S3-251224720
S1-101701291	final	4	S2-980437800,S2-68169470,S3-116041484,S3-526315736
S1-101902208	final	4	S2-193813347,S2-212410197,S3-22284158,S3-30391195
S1-102222537	final	7	S2-189653623,S2-18858680,S2-857924455,S2-199944093,S3-806627716,S3-129586551,S3-233643532
S1-102797838	final	2	S3-192405410,S3-297638124
S1-103277019	final	2	S2-599529892,S3-137941289
S1-103565606	final	2	S2-274029021,S3-716024855
S1-1038139	final	4	S2-356223098,S2-66554363,S3-851701538,S3-751808318
S1-104084234	final	5	S2-126252916,S2-675769046,S3-497545039,S3-877394632,S3-573511376
S1-104493299	final	3	S3-663262655,S3-771385223,S3-848736843
S1-104975966	final	2	S3-869752292,S3-674971137
S1-105571917	final	6	S2-63517310,S3-970680499,S3-261052940,S3-277343721,S3-342109205,S3-322764590
S1-10568330	final	4	S2-734511035,S2-206928277,S3-719896096,S3-179715615
S1-105813120	final	6	S2-45543338,S2-370803061,S2-385278984,S3-125018618,S3-686170907,S3-297569304
S1-106271139	final	3	S2-379520448,S3-902590920,S3-638002296
S1-106363393	final	3	S2-847659931,S3-789833663,S3-329499693
S1-106381971	final	4	S2-837119804,S2-172278229,S2-581450355,S3-584581866
S1-106517117	final	3	S2-247619153,S3-427891273,S3-730777005
S1-106735881	final	5	S2-885785985,S2-852749714,S3-584024476,S3-633741075,S3-800527135
S1-106804983	final	1	S3-454981188
S1-107064359	final	3	S2-957307509,S3-407595424,S3-786891193
S1-107250405	final	5	S2-334558408,S3-407976520,S3-582301270,S3-111252072,S3-509916753
S1-107414997	final	3	S2-3917645,S3-42148999,S3-128158327
S1-10742769	final	3	S2-767559061,S3-770331471,S3-716991868
S1-108889492	final	1	S3-964644554
S1-109050131	final	1	S3-17444989
S1-10954162	final	4	S2-719645842,S3-710571599,S3-92311253,S3-86902988
S1-109629840	final	2	S2-759049016,S3-12090910
S1-110062499	final	2	S2-993454068,S3-855695631
S1-11071774	final	5	S2-155699137,S2-213458270,S3-669818588,S3-878220251,S3-637369053
S1-11081618	final	2	S3-487807783,S3-771866316
S1-111243886	final	4	S2-157424854,S2-211476136,S2-243324793,S3-431734799
S1-111516267	final	3	S3-563602879,S3-245997968,S3-417109674
S1-112026676	final	3	S2-636117324,S3-675874114,S3-530413264
S1-112048710	final	1	S2-794396839
S1-112900813	final	6	S2-300963690,S2-533469504,S2-789472386,S3-380587255,S3-930695418,S3-541469038
S1-113211437	final	5	S2-818906061,S3-792711568,S3-107466387,S3-339442717,S3-501293454
S1-113388316	final	2	S2-611281826,S3-211538692
S1-113775535	final	3	S2-916329762,S2-660125073,S3-455023702
S1-113871834	final	4	S2-500802445,S2-501943781,S2-799773365,S3-62431228
S1-114660747	final	3	S2-143536902,S2-748288256,S3-239416728
S1-114730395	final	2	S2-439957856,S3-983960224
S1-115046332	final	4	S2-220050207,S2-276595766,S2-473215838,S3-515591677
S1-115262174	final	2	S2-151926375,S3-745418989
S1-115911758	final	2	S2-783491492,S2-667265192
S1-115943219	final	4	S2-868288706,S2-262606198,S2-390043918,S3-465342678
