s1_id	other_source	other_id	label	s1_name	other_name	name_similarity	s1_address	other_address	address_similarity	s1_country	other_country	reason_flags
S1-101322744	S2	S2-720262455	nonmatch	Chiropractic Partners	Chiropractic Partners	1.0	14 Rocky Lane, Houston, TX	CRESTWIND LN, ELGIN, TX	0.125	US	US	similar_name
S1-101709014	S3	S3-678119393	nonmatch	Cinder	Cinder	1.0	15375 55th Court, Plymouth, MN	24796 9, Winona, MN	0.125	US	US	similar_name
S1-101056835	S2	S2-869258427	nonmatch	National Fund	national fund	1.0	3236 Normount Avenue, Baltimore, MD	611B RAYMOND AVENUE, ORCUTT, CA	0.111	US	US	similar_name
S1-101123477	S2	S2-291860287	nonmatch	Orthopedic Care	Orthopedic Care	1.0	8209 Weller Street, Yorktown, IN	1855 ALGONA STREET, DUBUQUE, IA	0.111	US	US	similar_name
S1-101123477	S3	S3-680732410	nonmatch	Orthopedic Care	Orthopedic Care	1.0	8209 Weller Street, Yorktown, IN	1855 Algona Street, Dubuque, Iowa	0.111	US	US	similar_name
S1-101645806	S2	S2-25283388	nonmatch	Sterling	STERLING	1.0	4560 Washington Street, Unit 7, Boston, MA	465-469 CLAPBOARDTREE STREET, MA, WESTWOOD	0.091	US	US	similar_name
S1-100057571	S2	S2-435473605	nonmatch	Scholarship Guild	Scholarship Guild	1.0	1073 Clymers Creek Road, Hurricane, WV	1203- OLD HARRODS CREEK RD, ANCHORAGE, KY	0.083	US	US	similar_name
S1-10031717	S3	S3-425838121	nonmatch	National Fund	National  Fund	1.0	Santa Maria, 611 Raymond Avenue, CA	3236 Normount Avenue, PMB 6473, Balimore, Maryland	0.083	US	US	similar_name
S1-100057571	S3	S3-620824264	nonmatch	Scholarship Guild	Scholarship Guild	1.0	1073 Clymers Creek Road, Hurricane, WV	#1203 Old Harrods Creek Rd, PO Box 9467, Anchorage, Kentucky	0.067	US	US	similar_name
S1-100176728	S2	S2-436436446	nonmatch	Seven Solutions Pvt Ltd	Seven Solutions  Pvt Ltd	1.0	120, 1St Floor, Prasad Chamber Tata Road No 2, Opera House, Girgaon, Mumbai, Mumbai City, Maharashtra	NO 4766/12 DEPUTY GANJ SADAR BAZAR, DELHI, दिल्ली	0.043	India	India	similar_name
S1-100018231	S2	S2-748515887	nonmatch	Physical Therapy Group	physical therapy group	1.0	13975 Riverport Place Drive, Unit SUITE 105, Maryland Heights, MO	509 DOVER ST, OK, BROKEN ARROW	0.0	US	US	similar_name
S1-100174601	S3	S3-161920382	nonmatch	Foot & Ankle Center LLC	Foot Center Ankle & LLC	1.0	849 Washington Street, Norwood, MA	501 Fayetteville St, Unit 360, Raleigh, North Carolina	0.0	US	US	similar_name
S1-100174601	S2	S2-845783437	nonmatch	Foot & Ankle Center LLC	CENTER FOOT & ANKLE LLC	1.0	849 Washington Street, Norwood, MA	501 FAYTETEVILLE ST, RALEIGH, NC	0.0	US	US	similar_name
S1-100192399	S2	S2-96364540	nonmatch	Patriot Charities	Patriot Charities	1.0	3801 Superior Street, Lincoln, NE	929 BLUEBONNET DR, OLNEY, TX	0.0	US	US	similar_name
S1-100196139	S3	S3-958314666	nonmatch	Oncology Physicians	Oncology Physicians	1.0	1732 Highland Avenue, Phoenix, AZ	142 Hawthorne Drive, Winchester City, Virginia	0.0	US	US	similar_name
S1-100542041	S3	S3-251224720	nonmatch	Emerald	Emerald	1.0	128 Madison Park Court, Boston, MA	2770 Panhandle Rd, Marianna, Florida	0.0	US	US	similar_name
S1-100542041	S2	S2-705562118	nonmatch	Emerald	EMERALD	1.0	128 Madison Park Court, Boston, MA	AZ, 762 COUNTY 13 1/2 ST, YUMA	0.0	US	US	similar_name
