source1_entity_id	split	country
S1-281876520	final	India
S1-796284383	final	US
S1-771828876	final	India
S1-92947544	final	India
S1-304875576	final	US
S1-853880116	final	India
S1-11081618	final	India
S1-357663429	final	India
S1-608475188	final	US
S1-445766446	final	US
S1-59379109	final	US
S1-825077879	final	India
S1-148776548	final	India
S1-536991001	final	US
S1-824766393	final	US
S1-103565606	final	US
S1-73787861	final	US
S1-814691308	final	India
S1-804767147	final	US
S1-225611626	final	India
S1-61545268	final	US
S1-170389882	final	India
S1-383050289	final	India
S1-550731179	final	US
S1-770873776	final	US
S1-508909070	final	India
S1-69336548	final	India
S1-551824537	final	US
S1-554423527	final	India
S1-703052329	final	US
S1-457187548	final	US
S1-612268946	final	US
S1-66909044	final	India
S1-810624691	final	India
S1-459798798	final	US
S1-176969804	final	India
S1-175885020	final	US
S1-990059182	final	India
S1-928272266	final	US
S1-419768942	final	India
S1-294867850	final	US
S1-390561588	final	India
S1-125643955	final	US
S1-263801205	final	US
S1-788156340	final	India
S1-247171209	final	India
S1-98667822	final	India
S1-772048997	final	US
S1-61192381	final	US
S1-433358898	final	US
S1-180267774	final	US
S1-985313350	final	India
S1-233134029	final	India
S1-737854780	final	US
S1-836969330	final	India
S1-632401969	final	US
S1-503209119	final	US
S1-951178405	final	India
S1-953102207	final	India
S1-390776383	final	US
S1-26766951	final	India
S1-854826920	final	US
S1-190772495	final	India
S1-588383536	final	US
S1-958684075	final	US
S1-644041811	final	US
S1-170230003	final	India
S1-183836604	final	US
S1-330456802	final	India
S1-959862793	final	US
S1-390637796	final	India
S1-720274722	final	US
S1-991922818	final	US
S1-664882913	final	India
S1-829541678	final	India
S1-483857062	final	US
S1-759707427	final	US
S1-424159366	final	India
S1-559891928	final	US
S1-984360371	final	India
S1-280639850	final	US
S1-356643558	final	US
S1-937523950	final	India
S1-31636736	final	India
S1-206678457	final	US
S1-256856118	final	India
S1-266735359	final	US
S1-956488382	final	US
S1-928677583	final	US
S1-779038468	final	India
S1-871393290	final	India
S1-852403318	final	India
S1-175068861	final	India
S1-85614770	final	US
S1-279892405	final	US
S1-94062502	final	US
S1-431483678	final	India
S1-747031560	final	US
S1-379305042	final	India
S1-746402966	final	US
S1-678349802	final	India
S1-15660912	final	India
S1-710272638	final	US
S1-597936012	final	India
S1-46762557	final	US
S1-839526461	final	US
S1-651951918	final	India
S1-821161513	final	India
S1-687350466	final	India
S1-138953331	final	India
S1-91533723	final	US
S1-709491408	final	India
S1-555828778	final	India
S1-980011304	final	India
S1-15015939	final	US
S1-634290487	final	US
S1-133257589	final	US
S1-197929617	final	US
S1-609827979	final	US
S1-834633292	final	US
S1-702509257	final	US
S1-479260647	final	India
S1-764777163	final	US
S1-475920162	final	US
S1-396465764	final	US
S1-650627539	final	US
S1-324677365	final	India
S1-78941621	final	US
S1-144885175	final	India
S1-769568450	final	US
S1-160872151	final	India
S1-900284497	final	India
S1-650269573	final	India
S1-708422805	final	US
S1-230893842	final	US
S1-574550969	final	US
S1-694040955	final	US
S1-830131951	final	India
S1-181040431	final	US
S1-572663390	final	India
S1-900609672	final	India
S1-92729828	final	US
S1-995534897	final	India
S1-865317184	final	US
S1-363959491	final	US
