dataset	column	total_rows	empty_count	blank_only_count	missing_total	missing_pct	sentinel_values
test_source1	entity_id	1732544	0	0	0	0.0	{}
test_source1	business_name	1732544	0	0	0	0.0	{}
test_source1	business_address	1732544	0	0	0	0.0	{}
test_source1	country	1732544	0	0	0	0.0	{}
test_source2	entity_id	4887273	0	0	0	0.0	{}
test_source2	business_name	4887273	0	0	0	0.0	"{""NA"": 46}"
test_source2	business_address	4887273	129408	0	129408	2.65	{}
test_source2	country	4887273	0	0	0	0.0	{}
test_source3	entity_id	5082316	0	0	0	0.0	{}
test_source3	business_name	5082316	0	0	0	0.0	"{""NA"": 59}"
test_source3	business_address	5082316	136098	0	136098	2.68	{}
test_source3	country	5082316	0	0	0	0.0	{}
train_source1	entity_id	2206821	0	0	0	0.0	{}
train_source1	business_name	2206821	0	0	0	0.0	{}
train_source1	business_address	2206821	0	0	0	0.0	{}
train_source1	country	2206821	0	0	0	0.0	{}
train_source2	entity_id	5034616	0	0	0	0.0	{}
train_source2	business_name	5034616	0	0	0	0.0	"{""NA"": 2}"
train_source2	business_address	5034616	168967	0	168967	3.36	{}
train_source2	country	5034616	0	0	0	0.0	{}
train_source3	entity_id	5285603	0	0	0	0.0	{}
train_source3	business_name	5285603	0	0	0	0.0	"{""NA"": 13}"
train_source3	business_address	5285603	175916	0	175916	3.33	{}
train_source3	country	5285603	0	0	0	0.0	{}
