source1_entity_id	split	country
S1-560180536	threshold	US
S1-721422275	threshold	US
S1-172380123	threshold	US
S1-227498568	threshold	India
S1-98888290	threshold	India
S1-869771621	threshold	US
S1-520641128	threshold	US
S1-500033967	threshold	India
S1-553915799	threshold	India
S1-290323736	threshold	US
S1-429976530	threshold	US
S1-250327534	threshold	US
S1-81217925	threshold	US
S1-229598913	threshold	US
S1-434193585	threshold	US
S1-720161630	threshold	US
S1-147985673	threshold	India
S1-965238403	threshold	US
S1-197382018	threshold	US
S1-953845786	threshold	US
S1-210529619	threshold	India
S1-904549543	threshold	US
S1-247119078	threshold	India
S1-197810142	threshold	US
S1-205239891	threshold	India
S1-223185294	threshold	India
S1-900881143	threshold	India
S1-279089650	threshold	US
S1-16295644	threshold	US
S1-156596895	threshold	US
S1-156880711	threshold	US
S1-626131463	threshold	India
S1-655144131	threshold	India
S1-617010768	threshold	India
S1-533873679	threshold	US
S1-307395545	threshold	US
S1-435412435	threshold	India
S1-931690772	threshold	US
S1-937157116	threshold	US
S1-259205947	threshold	US
S1-386235735	threshold	US
S1-407644068	threshold	US
S1-998066105	threshold	India
S1-64943160	threshold	India
S1-706309121	threshold	US
S1-47690316	threshold	US
S1-215028229	threshold	US
S1-604633381	threshold	India
S1-341272100	threshold	India
S1-218614790	threshold	India
S1-877092785	threshold	India
S1-822759260	threshold	US
S1-491839212	threshold	US
S1-979045502	threshold	US
S1-714988414	threshold	US
S1-560937535	threshold	India
S1-920368922	threshold	US
S1-21791313	threshold	India
S1-171066113	threshold	US
S1-267944230	threshold	India
S1-199400131	threshold	India
S1-867685942	threshold	India
S1-381864439	threshold	US
S1-106052791	threshold	US
S1-218979830	threshold	India
S1-322576618	threshold	India
S1-684021813	threshold	US
S1-191789424	threshold	US
S1-294404758	threshold	US
S1-425551032	threshold	India
S1-573221569	threshold	US
S1-902484379	threshold	US
S1-341306283	threshold	India
S1-479839027	threshold	India
S1-499246798	threshold	India
S1-312053419	threshold	US
S1-832838143	threshold	US
S1-18370389	threshold	US
S1-670579374	threshold	India
S1-4331980	threshold	US
S1-996271246	threshold	India
S1-660543777	threshold	India
S1-482715610	threshold	US
S1-51828835	threshold	US
S1-375002992	threshold	US
S1-208418760	threshold	India
S1-803667513	threshold	US
S1-154069526	threshold	US
S1-30132677	threshold	US
S1-76005804	threshold	India
S1-819102669	threshold	US
S1-27585812	threshold	US
S1-585823207	threshold	US
S1-866546001	threshold	US
S1-765957674	threshold	US
S1-600890317	threshold	US
S1-361940166	threshold	India
S1-212583373	threshold	US
S1-121442724	threshold	India
S1-616481784	threshold	US
S1-496177864	threshold	US
S1-683374180	threshold	US
S1-64841860	threshold	India
S1-403179097	threshold	India
S1-223965310	threshold	US
S1-305926402	threshold	US
S1-30767495	threshold	US
S1-827698439	threshold	US
S1-724195140	threshold	India
S1-663114183	threshold	US
S1-977108339	threshold	US
S1-370970760	threshold	US
S1-534046796	threshold	US
S1-983587962	threshold	India
S1-679825203	threshold	US
S1-232840766	threshold	India
S1-712366248	threshold	US
S1-949019065	threshold	US
S1-136917384	threshold	India
S1-662773896	threshold	US
S1-954981810	threshold	US
S1-510802172	threshold	US
S1-497300722	threshold	India
S1-848760807	threshold	US
S1-248593579	threshold	US
S1-575214339	threshold	US
S1-8000604	threshold	India
S1-942427038	threshold	US
S1-951220709	threshold	US
S1-120863440	threshold	India
S1-516115816	threshold	US
S1-594197811	threshold	India
S1-958988789	threshold	India
S1-228717166	threshold	US
S1-29297582	threshold	India
S1-315818080	threshold	India
S1-221631533	threshold	US
S1-642827193	threshold	US
S1-907946560	threshold	US
S1-951843987	threshold	India
S1-684511294	threshold	US
S1-291723422	threshold	US
S1-544958138	threshold	US
S1-422959800	threshold	US
S1-832611338	threshold	US
S1-133041809	threshold	US
S1-69280560	threshold	US
S1-419331180	threshold	US
S1-175160604	threshold	US
S1-739716412	threshold	India
S1-893355770	threshold	India
S1-24316143	threshold	US
S1-608274685	threshold	India
S1-684995953	threshold	India
S1-293759857	threshold	US
S1-843363364	threshold	US
S1-588076295	threshold	US
S1-702408586	threshold	US
S1-267843775	threshold	US
S1-867147031	threshold	India
S1-255511888	threshold	India
S1-559182554	threshold	US
S1-837803338	threshold	US
S1-34079885	threshold	US
S1-222947879	threshold	US
S1-761685884	threshold	US
S1-94579205	threshold	US
S1-930744418	threshold	US
S1-858154430	threshold	US
S1-295161793	threshold	US
S1-629206216	threshold	US
S1-464656167	threshold	US
S1-157665666	threshold	US
S1-934320285	threshold	US
S1-87686509	threshold	US
S1-584700621	threshold	US
S1-221819926	threshold	US
S1-454764022	threshold	US
S1-536486144	threshold	India
S1-375451058	threshold	India
S1-122471612	threshold	US
S1-958759798	threshold	US
S1-127498164	threshold	India
S1-606410850	threshold	US
S1-605686703	threshold	US
S1-510716043	threshold	US
S1-123075429	threshold	US
S1-558399815	threshold	US
S1-811764777	threshold	US
S1-172940189	threshold	US
S1-725275594	threshold	US
S1-506763830	threshold	US
S1-401793882	threshold	India
S1-998140135	threshold	US
S1-282948362	threshold	US
S1-192890806	threshold	India
S1-987633290	threshold	US
S1-853378428	threshold	US
S1-889838698	threshold	India
S1-461483851	threshold	India
S1-812195617	threshold	India
S1-635568304	threshold	US
S1-343168529	threshold	US
S1-522622411	threshold	US
S1-195884751	threshold	India
S1-350539444	threshold	India
S1-781967877	threshold	US
S1-820507016	threshold	US
S1-742892220	threshold	US
S1-800388193	threshold	India
S1-212560219	threshold	US
S1-677120772	threshold	US
S1-539394998	threshold	US
S1-586294209	threshold	India
S1-399821556	threshold	US
S1-833542251	threshold	India
S1-910768227	threshold	US
S1-278567304	threshold	US
S1-450518677	threshold	US
S1-68515273	threshold	India
S1-787644253	threshold	US
S1-193473243	threshold	US
S1-892263555	threshold	India
S1-833821864	threshold	India
S1-854046230	threshold	US
S1-472605357	threshold	US
S1-751733535	threshold	India
S1-77178188	threshold	India
S1-839557914	threshold	US
S1-880054868	threshold	US
S1-807596775	threshold	US
S1-989346564	threshold	US
S1-187189701	threshold	India
S1-271953552	threshold	India
S1-924145247	threshold	India
S1-213839216	threshold	US
S1-573442056	threshold	US
S1-494037123	threshold	India
S1-12393127	threshold	US
S1-369575465	threshold	India
S1-368230516	threshold	US
S1-850766478	threshold	India
S1-429730418	threshold	US
S1-387241816	threshold	US
S1-119038449	threshold	US
S1-655589543	threshold	India
S1-755074948	threshold	US
S1-421658748	threshold	US
S1-643032590	threshold	India
S1-596809902	threshold	India
S1-6385904	threshold	US
