source1_entity_id	split	country
S1-804119590	train	US
S1-407015101	train	US
S1-244241177	train	US
S1-495183768	train	India
S1-751390580	train	US
S1-779457526	train	US
S1-179789986	train	US
S1-915739274	train	US
S1-771614829	train	India
S1-364910083	train	India
S1-992508314	train	India
S1-994767901	train	US
S1-664311480	train	India
S1-945441770	train	US
S1-499179362	train	US
S1-988695917	train	India
S1-533090352	train	India
S1-26897124	train	India
S1-285803766	train	US
S1-806245432	train	US
S1-6372473	train	India
S1-756971793	train	US
S1-859923680	train	US
S1-535258167	train	India
S1-951813662	train	US
S1-52764925	train	India
S1-159777680	train	US
S1-571141691	train	India
S1-269891981	train	India
S1-30009484	train	India
S1-276595601	train	India
S1-107565146	train	US
S1-495409451	train	India
S1-494609747	train	US
S1-689420840	train	India
S1-820544549	train	India
S1-745554200	train	US
S1-448854191	train	US
S1-57035690	train	India
S1-869250675	train	US
S1-71720562	train	US
S1-296208646	train	US
S1-237477163	train	India
S1-404953122	train	India
S1-106188622	train	US
S1-418870654	train	India
S1-178971899	train	US
S1-846831335	train	India
S1-608779576	train	India
S1-620396734	train	US
S1-343435055	train	US
S1-403320744	train	US
S1-536403798	train	US
S1-986741992	train	India
S1-544615407	train	US
S1-712495723	train	US
S1-640961757	train	US
S1-666020242	train	US
S1-57491346	train	US
S1-428805843	train	India
S1-572557181	train	India
S1-228036386	train	US
S1-966890455	train	US
S1-884587814	train	US
S1-275656262	train	India
S1-32269737	train	US
S1-879449819	train	US
S1-233217707	train	India
S1-15340651	train	US
S1-635653062	train	US
S1-415144965	train	US
S1-167080221	train	US
S1-309735147	train	US
S1-781105523	train	US
S1-809253502	train	India
S1-911545093	train	US
S1-728392388	train	US
S1-741116839	train	US
S1-264343440	train	US
S1-44110013	train	US
S1-401844459	train	US
S1-435285618	train	US
S1-146722705	train	US
S1-879443229	train	US
S1-36528593	train	US
S1-882649967	train	US
S1-729467830	train	India
S1-496355441	train	US
S1-955566828	train	US
S1-600090005	train	US
S1-528925231	train	US
S1-423505036	train	US
S1-745922812	train	US
S1-167384623	train	US
S1-894334542	train	US
S1-410417201	train	India
S1-840963356	train	India
S1-167839433	train	US
S1-682765428	train	US
S1-129161476	train	US
S1-130123295	train	India
S1-470937173	train	India
S1-75837122	train	India
S1-666362444	train	India
S1-179339611	train	India
S1-857448636	train	India
S1-9113643	train	India
S1-140885430	train	US
S1-614434701	train	India
S1-848556560	train	India
S1-525057506	train	US
S1-304629889	train	US
S1-88940286	train	India
S1-783848526	train	India
S1-781606229	train	US
S1-294262139	train	US
S1-280278028	train	US
S1-320716170	train	US
S1-69401035	train	US
S1-507228001	train	US
S1-95547444	train	India
S1-498044519	train	US
S1-548589310	train	India
S1-752086709	train	India
S1-919101897	train	India
S1-25322825	train	India
S1-374063770	train	US
S1-776752943	train	India
S1-385029447	train	India
S1-219407741	train	US
S1-984044465	train	US
S1-520129639	train	US
S1-964496523	train	US
S1-199107097	train	India
S1-690320834	train	US
S1-954007376	train	US
S1-680252936	train	US
S1-623156347	train	US
S1-13562181	train	India
S1-727492035	train	India
S1-404968961	train	US
S1-938246441	train	US
S1-899286153	train	US
S1-970058035	train	India
S1-844769367	train	India
S1-852472888	train	US
S1-409601302	train	US
S1-797069353	train	US
S1-138497991	train	US
S1-173400589	train	India
S1-829232235	train	US
S1-326254310	train	US
S1-624793568	train	US
S1-832661386	train	US
S1-723809913	train	India
S1-409108404	train	India
S1-14288033	train	India
S1-25582168	train	US
S1-608994214	train	US
S1-999814341	train	US
S1-629188162	train	US
S1-456685905	train	US
S1-957359267	train	India
S1-269890352	train	US
S1-209646195	train	US
S1-283869901	train	US
S1-648791224	train	India
S1-519503027	train	India
S1-479156800	train	India
S1-989331884	train	India
S1-413541391	train	India
S1-325092116	train	US
S1-281879640	train	India
S1-383307680	train	US
S1-199882467	train	India
S1-333305580	train	US
S1-459040736	train	India
S1-129564965	train	US
S1-141176450	train	US
S1-286830907	train	US
S1-589847595	train	US
S1-86226052	train	India
S1-134123958	train	US
S1-66284109	train	India
S1-911348457	train	India
S1-216806502	train	India
S1-810366680	train	US
S1-393014640	train	US
S1-275430122	train	US
S1-747808945	train	US
S1-790464841	train	India
S1-736524689	train	US
S1-821319481	train	US
S1-969885927	train	India
S1-563235797	train	India
S1-213354743	train	US
S1-39115050	train	US
S1-113159949	train	India
S1-424302374	train	US
S1-976002724	train	US
S1-973471887	train	India
S1-225937004	train	US
S1-137660680	train	India
S1-71019765	train	US
S1-305228992	train	India
S1-779925203	train	India
S1-636332332	train	US
S1-505131412	train	India
S1-811521260	train	US
S1-686223532	train	India
S1-325580431	train	US
S1-751210240	train	US
S1-364155501	train	India
S1-81449604	train	US
S1-705837571	train	US
S1-672004370	train	US
S1-163034369	train	US
S1-176972570	train	India
S1-566933272	train	US
S1-744241080	train	US
S1-616826347	train	US
S1-476254889	train	US
S1-180652691	train	US
S1-855183368	train	India
S1-642582888	train	India
S1-585233514	train	India
S1-43708516	train	India
S1-861983453	train	US
S1-901547052	train	US
S1-963477751	train	US
S1-991564337	train	India
S1-822634711	train	US
S1-353064149	train	US
S1-149244910	train	India
S1-888162723	train	US
S1-478545905	train	US
S1-815837705	train	US
S1-892820799	train	US
S1-779449590	train	US
S1-677591006	train	India
S1-295208026	train	US
S1-450441747	train	US
S1-834364118	train	US
S1-565615988	train	India
S1-246619684	train	India
S1-273902096	train	India
S1-118186149	train	India
S1-482127835	train	US
S1-158025675	train	US
S1-953554313	train	US
S1-649445738	train	India
S1-708083392	train	India
S1-424004065	train	India
S1-99488957	train	India
S1-505524283	train	India
S1-801667591	train	US
S1-209437586	train	India
S1-684867824	train	US
S1-790294820	train	India
S1-827940879	train	India
S1-403047296	train	US
S1-923771050	train	US
S1-875341848	train	US
S1-578605442	train	US
S1-988356576	train	US
S1-898550903	train	India
S1-56658600	train	US
S1-719977632	train	India
S1-112272936	train	India
S1-306226	train	India
S1-790782036	train	US
S1-986412203	train	US
S1-52766369	train	US
S1-46136410	train	US
S1-764870676	train	India
S1-383879357	train	India
S1-870423824	train	US
S1-205215796	train	India
S1-478049172	train	US
S1-840802007	train	US
S1-934372546	train	India
S1-374636211	train	US
S1-997855455	train	India
S1-805279084	train	India
S1-145709226	train	US
S1-200040000	train	US
S1-848236187	train	India
S1-773612750	train	US
S1-235954912	train	India
S1-784699482	train	India
S1-90084408	train	US
S1-501914377	train	US
S1-449098758	train	US
S1-464913613	train	US
S1-792806831	train	India
S1-653021817	train	US
S1-843539833	train	US
S1-3730405	train	US
S1-995601607	train	US
S1-490496464	train	US
S1-76545489	train	US
S1-970642447	train	India
S1-249180651	train	India
S1-169885844	train	India
S1-285728423	train	India
S1-996527090	train	India
S1-432238865	train	US
S1-885286264	train	India
S1-589605360	train	US
S1-175005888	train	US
S1-199488603	train	US
S1-69645111	train	US
S1-385071649	train	India
S1-321528223	train	India
S1-659579864	train	US
S1-658833534	train	India
S1-163021832	train	India
S1-136252190	train	India
S1-721506340	train	India
S1-677530399	train	US
S1-592086844	train	US
S1-273335997	train	India
S1-110981119	train	US
S1-223861021	train	US
S1-136704847	train	US
S1-109575407	train	US
S1-387001097	train	US
S1-961621104	train	India
S1-144611061	train	US
S1-688938569	train	US
S1-490121154	train	US
S1-86102047	train	US
S1-583588677	train	US
S1-978067532	train	US
S1-297553493	train	US
S1-797022714	train	US
S1-389523126	train	US
S1-365365173	train	US
S1-889056675	train	US
S1-633951166	train	US
S1-852779539	train	US
S1-600691860	train	India
S1-803425004	train	US
S1-876745081	train	India
S1-730821958	train	US
S1-971228160	train	US
S1-51990925	train	US
S1-59520761	train	US
S1-62691690	train	US
S1-352654057	train	India
S1-499556704	train	US
S1-709398188	train	India
S1-697360506	train	US
S1-189974671	train	US
S1-236457122	train	India
S1-48856374	train	US
S1-441038531	train	India
S1-125714390	train	India
S1-387734522	train	India
S1-966503380	train	US
S1-799667803	train	India
S1-89800541	train	India
S1-795672926	train	India
S1-684498876	train	US
S1-845283748	train	US
S1-341636075	train	India
S1-424455298	train	US
S1-871287327	train	US
S1-155453851	train	US
S1-436092588	train	US
S1-540289383	train	US
S1-568305859	train	India
S1-905605296	train	US
S1-462773878	train	US
S1-489861149	train	India
S1-545720778	train	US
S1-666706406	train	US
S1-613194675	train	US
S1-829029111	train	India
S1-202223833	train	US
S1-25390684	train	India
S1-263848097	train	India
S1-825585098	train	US
S1-906084090	train	India
S1-71597702	train	India
S1-874211647	train	India
S1-268251493	train	US
S1-575167891	train	US
S1-195600288	train	India
S1-495644120	train	US
S1-12498920	train	India
S1-344149856	train	India
S1-364308639	train	US
S1-336735441	train	India
S1-239946934	train	India
S1-112575053	train	India
S1-752929417	train	US
S1-260758744	train	India
S1-810587006	train	US
S1-650835606	train	India
S1-11494142	train	India
S1-503377254	train	US
S1-44843117	train	US
S1-617489413	train	US
S1-675247799	train	US
S1-150024674	train	US
S1-117165472	train	US
S1-654797591	train	India
S1-3039533	train	India
S1-52704074	train	India
S1-316109962	train	India
S1-956740367	train	US
S1-516905522	train	India
S1-610519824	train	US
S1-100053007	train	US
S1-940686933	train	US
S1-186943571	train	India
S1-126334913	train	US
S1-333943672	train	US
S1-789928809	train	US
S1-119015199	train	US
S1-164659223	train	India
S1-962798319	train	India
S1-554110628	train	US
S1-350939760	train	US
S1-426455245	train	US
S1-922944391	train	India
S1-900601972	train	US
S1-499527527	train	US
S1-18948101	train	US
S1-466697399	train	India
S1-187063970	train	India
S1-21944376	train	US
S1-615011792	train	India
S1-967278333	train	India
S1-151978211	train	India
S1-267911564	train	India
S1-855611581	train	US
S1-42757483	train	US
S1-949531773	train	India
S1-572531698	train	US
S1-800413274	train	US
S1-179626922	train	India
S1-544746805	train	India
S1-468900674	train	India
S1-127179985	train	India
S1-492727301	train	India
S1-171862690	train	India
S1-9051957	train	US
S1-978597738	train	India
S1-615030550	train	India
S1-50865558	train	India
S1-229347795	train	India
S1-125676672	train	India
S1-132783373	train	US
S1-995499398	train	US
S1-496286501	train	US
S1-306583100	train	India
S1-848409233	train	US
S1-211224957	train	US
S1-292064370	train	India
S1-37794136	train	US
S1-221795916	train	India
S1-740066801	train	India
S1-401052068	train	India
S1-952769648	train	India
S1-224775115	train	US
S1-148179847	train	US
S1-199853034	train	US
S1-981559696	train	US
S1-465531165	train	India
S1-345909479	train	India
S1-786297045	train	US
S1-987350184	train	India
S1-118917720	train	India
S1-600828054	train	US
S1-465142635	train	India
S1-631595405	train	India
S1-587914390	train	India
S1-830203223	train	India
S1-159618099	train	US
S1-117018997	train	India
S1-306237111	train	India
S1-402107928	train	US
S1-272855826	train	US
S1-574521959	train	US
S1-326881275	train	India
S1-311219347	train	US
S1-440212557	train	India
S1-571514140	train	India
S1-969839938	train	US
S1-986078988	train	US
S1-909271676	train	India
S1-554057869	train	US
S1-131259505	train	US
S1-96464069	train	US
S1-564918366	train	US
S1-151156020	train	India
S1-796356373	train	India
S1-536137142	train	US
S1-482970549	train	US
S1-407497453	train	US
S1-433255744	train	US
S1-880712456	train	India
S1-951856753	train	US
